name,parent,age,description
Person 1,Architect 1,1,Likes to play tennis
Person 2,Architect 1,2, Likes to play soccer
Person 3,Architect 1,3,Likes to clean
Person 4,Architect 1,4,Likes running around
Person 5,Consultant 1,5, Likes sleeping
Person 6,Consultant 1,6,Likes to run
Person 7,Consultant 1,7,Likes to play tennis
Person 8,Consultant 1,8, Likes to play soccer
Person 9,Developer 1,9,Likes to clean
Person 10,Developer 1,10,Likes running around
Person 11,Developer 1,11, Likes sleeping
Person 12,Developer 1,12,Likes to run
Person 13,Developer 2,13,Likes to play tennis
Person 14,Developer 2,14, Likes to play soccer
Person 15,Developer 2,15,Likes to clean
Person 16,Developer 2,16,Likes running around
Person 17,Developer 3,17, Likes sleeping
Person 18,Developer 3,18,Likes to run
Person 19,Developer 3,19,Likes to play tennis
Person 20,Developer 3,20, Likes to play soccer
Person 21,Developer 4,21,Likes to clean
Person 22,Developer 4,22,Likes running around
Person 23,Developer 4,23, Likes sleeping
Person 24,Developer 4,24,Likes to run
Person 25,Product Owner 1,25,Likes to play tennis
Person 26,Product Owner 1,26, Likes to play soccer
Person 27,Product Owner 1,27,Likes to clean
Person 28,Product Owner 1,28,Likes running around
Person 29,QA Engineer 1,29, Likes sleeping
Person 30,QA Engineer 1,30,Likes to run
Person 31,QA Engineer 1,31,Likes to run
Person 32,QA Engineer 1,32,Likes to play tennis
Person 33,Architect 2,33,Likes to play tennis
Person 34,Architect 2,34, Likes to play soccer
Person 35,Architect 2,35,Likes to clean
Person 36,Architect 2,36,Likes running around
Person 37,Consultant 2,37, Likes sleeping
Person 38,Consultant 2,38,Likes to run
Person 39,Consultant 2,39,Likes to play tennis
Person 40,Consultant 2,40, Likes to play soccer
Person 41,Developer 5,41,Likes to clean
Person 42,Developer 5,42,Likes running around
Person 43,Developer 5,43, Likes sleeping
Person 44,Developer 5,44,Likes to run
Person 45,Developer 6,45,Likes to play tennis
Person 46,Developer 6,46, Likes to play soccer
Person 47,Developer 6,47,Likes to clean
Person 48,Developer 6,48,Likes running around
Person 49,Developer 7,49, Likes sleeping
Person 50,Developer 7,50,Likes to run
Person 51,Developer 7,51,Likes to play tennis
Person 52,Developer 7,52, Likes to play soccer
Person 53,Developer 8,53,Likes to clean
Person 54,Developer 8,54,Likes running around
Person 55,Developer 8,55, Likes sleeping
Person 56,Developer 8,56,Likes to run
Person 57,Product Owner 2,57,Likes to play tennis
Person 58,Product Owner 2,58, Likes to play soccer
Person 59,Product Owner 2,59,Likes to clean
Person 60,Product Owner 2,60,Likes running around
Person 61,QA Engineer 2,61, Likes sleeping
Person 62,QA Engineer 2,62,Likes to run
Person 63,QA Engineer 2,63,Likes to run
Person 64,QA Engineer 2,64,Likes to play tennis
Architect 1,Team 1,65, Likes sleeping
Consultant 1,Team 1,66,Likes to run
Developer 1,Team 1,67,Likes to play tennis
Developer 2,Team 1,68, Likes to play soccer
Developer 3,Team 1,69,Likes to clean
Developer 4,Team 1,70,Likes running around
Product Owner 1,Team 1,71, Likes sleeping
QA Engineer 1,Team 1,72,Likes to run
Architect 2,Team 2,73,Likes to run
Consultant 2,Team 2,74,Likes to play tennis
Developer 5,Team 2,75, Likes sleeping
Developer 6,Team 2,76,Likes to run
Developer 7,Team 2,77,Likes to play tennis
Developer 8,Team 2,78, Likes to play soccer
Product Owner 2,Team 2,79,Likes to clean
QA Engineer 2,Team 2,80,Likes running around
Team 1,Manager,90,Team 1 is better
Team 2,Manager,100,Team 2 is better
Manager,null,1000,I am the manager
